count,dtype,vector,threads,blocks,trial,amax_with_clear_ms
1048576,1,8,128,128,1,0.025274
1048576,1,4,256,1024,1,0.0238524
1048576,1,8,256,1024,1,0.0227891
1048576,1,4,256,512,1,0.022627
1048576,1,8,256,512,1,0.0220638
1048576,1,4,256,256,1,0.022743
1048576,1,8,256,256,1,0.0216695
1048576,1,4,256,128,1,0.02489
1048576,1,8,256,128,1,0.0226765
1048576,1,4,512,1024,1,0.0254225
1048576,1,8,512,1024,1,0.0249446
1048576,1,4,512,512,1,0.0231782
1048576,1,8,512,512,1,0.022144
1048576,1,4,512,256,1,0.0219665
1048576,1,8,512,256,1,0.0214716
1048576,1,4,512,128,1,0.0227465
1048576,1,8,512,128,1,0.0217788
1048576,1,1,256,256,2,0.0263134
1048576,1,4,128,128,2,0.0298103
1048576,1,8,128,128,2,0.0253338
1048576,1,4,128,256,2,0.0251733
1048576,1,8,128,256,2,0.0228898
1048576,1,4,128,512,2,0.0231543
1048576,1,8,128,512,2,0.0220006
1048576,1,4,128,1024,2,0.0227635
1048576,1,8,128,1024,2,0.0221628
1048576,1,4,256,128,2,0.0249771
1048576,1,8,256,128,2,0.0227823
1048576,1,4,256,256,2,0.0228693
1048576,1,8,256,256,2,0.0216951
1048576,1,4,256,512,2,0.0227294
1048576,1,8,256,512,2,0.0221047
1048576,1,4,256,1024,2,0.0238473
1048576,1,8,256,1024,2,0.0228454
1048576,1,4,512,128,2,0.0227601
1048576,1,8,512,128,2,0.0217122
1048576,1,4,512,256,2,0.0220023
1048576,1,8,512,256,2,0.021405
1048576,1,4,512,512,2,0.0232738
1048576,1,8,512,512,2,0.0221901
1048576,1,4,512,1024,2,0.0254942
1048576,1,8,512,1024,2,0.0250522
33554432,0,1,256,256,0,0.267354
33554432,0,4,128,128,0,0.368883
33554432,0,8,128,128,0,0.252864
33554432,0,4,128,256,0,0.231347
33554432,0,8,128,256,0,0.156787
33554432,0,4,128,512,0,0.147264
33554432,0,8,128,512,0,0.125126
33554432,0,4,128,1024,0,0.107072
33554432,0,8,128,1024,0,0.126438
33554432,0,4,256,128,0,0.238579
33554432,0,8,256,128,0,0.159206
33554432,0,4,256,256,0,0.150362
33554432,0,8,256,256,0,0.129984
33554432,0,4,256,512,0,0.107206
33554432,0,8,256,512,0,0.125293
33554432,0,4,256,1024,0,0.117472
33554432,0,8,256,1024,0,0.12544
33554432,0,4,512,128,0,0.154394
33554432,0,8,512,128,0,0.151059
33554432,0,4,512,256,0,0.108851
33554432,0,8,512,256,0,0.133024
33554432,0,4,512,512,0,0.118464
33554432,0,8,512,512,0,0.123514
33554432,0,4,512,1024,0,0.106816
33554432,0,8,512,1024,0,0.121741
33554432,0,1,256,256,1,0.263328
33554432,0,4,128,1024,1,0.106899
33554432,0,8,128,1024,1,0.126317
33554432,0,4,128,512,1,0.146912
33554432,0,8,128,512,1,0.124973
33554432,0,4,128,256,1,0.228614
33554432,0,8,128,256,1,0.156186
33554432,0,4,128,128,1,0.36583
33554432,0,8,128,128,1,0.253818
33554432,0,4,256,1024,1,0.118182
33554432,0,8,256,1024,1,0.125619
33554432,0,4,256,512,1,0.107155
33554432,0,8,256,512,1,0.125728
33554432,0,4,256,256,1,0.150214
33554432,0,8,256,256,1,0.129389
33554432,0,4,256,128,1,0.239578
33554432,0,8,256,128,1,0.159469
33554432,0,4,512,1024,1,0.10704
33554432,0,8,512,1024,1,0.121613
33554432,0,4,512,512,1,0.118234
33554432,0,8,512,512,1,0.123443
33554432,0,4,512,256,1,0.108826
33554432,0,8,512,256,1,0.133069
33554432,0,4,512,128,1,0.154419
33554432,0,8,512,128,1,0.1504
33554432,0,1,256,256,2,0.263571
33554432,0,4,128,128,2,0.366099
33554432,0,8,128,128,2,0.250918
