rows,dim,dtype,format,warps,lanes,trial,had_ms,fused_ms
8192,512,1,1,16,32,2,0.0712066,5.13175
8192,512,2,0,1,32,0,0.191561,0.401659
8192,512,2,0,2,32,0,0.124317,0.261342
8192,512,2,0,4,32,0,0.0934976,0.202112
8192,512,2,0,8,32,0,0.0937853,0.201173
8192,512,2,0,16,32,0,0.0813752,0.165995
8192,512,2,0,16,32,1,0.0812556,0.166183
8192,512,2,0,8,32,1,0.0939278,0.201098
8192,512,2,0,4,32,1,0.0934498,0.202298
8192,512,2,0,2,32,1,0.124252,0.261206
8192,512,2,0,1,32,1,0.191396,0.40158
8192,512,2,0,1,32,2,0.191428,0.401629
8192,512,2,0,2,32,2,0.124295,0.261301
8192,512,2,0,4,32,2,0.0934581,0.202307
8192,512,2,0,8,32,2,0.0937822,0.200712
8192,512,2,0,16,32,2,0.0813431,0.165781
8192,512,2,1,1,32,0,0.19158,12.3412
8192,512,2,1,2,32,0,0.124193,7.07596
8192,512,2,1,4,32,0,0.0936992,5.23986
8192,512,2,1,8,32,0,0.0939291,5.16423
8192,512,2,1,16,32,0,0.0812218,5.19541
8192,512,2,1,16,32,1,0.0812094,5.19495
8192,512,2,1,8,32,1,0.0938232,5.16323
8192,512,2,1,4,32,1,0.0936704,5.2393
8192,512,2,1,2,32,1,0.124343,7.07837
8192,512,2,1,1,32,1,0.191539,12.3434
8192,512,2,1,1,32,2,0.191488,12.338
8192,512,2,1,2,32,2,0.124214,7.07914
8192,512,2,1,4,32,2,0.0936742,5.2362
