rows,dim,dtype,format,warps,trial,had_ms,fused_ms
65536,1024,2,0,1,1,1.82146,6.87272
65536,1024,2,0,1,2,1.82122,6.8689
65536,1024,2,0,2,2,1.80403,7.23887
65536,1024,2,0,4,2,2.03884,7.16593
65536,1024,2,1,1,0,1.82046,29.9038
65536,1024,2,1,2,0,1.80384,30.2303
65536,1024,2,1,4,0,2.03757,32.6247
65536,1024,2,1,4,1,2.03891,32.6351
65536,1024,2,1,2,1,1.80468,30.2211
65536,1024,2,1,1,1,1.82042,29.9199
65536,1024,2,1,1,2,1.82021,29.9079
65536,1024,2,1,2,2,1.80334,30.225
65536,1024,2,1,4,2,2.03854,32.6409
