count,dtype,vector,threads,blocks,trial,amax_with_clear_ms
33554432,1,4,128,128,2,1.32316
33554432,1,8,128,128,2,1.02228
33554432,1,4,128,256,2,1.0552
33554432,1,8,128,256,2,0.811168
33554432,1,4,128,512,2,0.913777
33554432,1,8,128,512,2,0.709506
33554432,1,4,128,1024,2,0.857039
33554432,1,8,128,1024,2,0.680268
33554432,1,4,256,128,2,0.99111
33554432,1,8,256,128,2,0.700912
33554432,1,4,256,256,2,0.830538
33554432,1,8,256,256,2,0.644305
33554432,1,4,256,512,2,0.830934
33554432,1,8,256,512,2,0.664626
33554432,1,4,256,1024,2,0.832666
33554432,1,8,256,1024,2,0.676235
33554432,1,4,512,128,2,0.852543
33554432,1,8,512,128,2,0.663757
33554432,1,4,512,256,2,0.853062
33554432,1,8,512,256,2,0.687613
33554432,1,4,512,512,2,0.843955
33554432,1,8,512,512,2,0.689338
33554432,1,4,512,1024,2,0.873248
33554432,1,8,512,1024,2,0.720627
